iter	Passed	Remaining
1482	6673	6826
1483	6678	6822
1484	6681	6816
1485	6686	6812
1486	6691	6808
1487	6695	6803
1488	6699	6798
1489	6704	6794
1490	6708	6789
1491	6712	6784
1492	6716	6779
1493	6720	6774
1494	6724	6769
1495	6729	6765
1496	6733	6760
1497	6737	6755
1498	6742	6751
1499	6745	6745
1500	6749	6740
1501	6754	6736
1502	6758	6731
1503	6762	6726
1504	6766	6721
1505	6771	6717
1506	6775	6712
1507	6779	6707
1508	6783	6702
1509	6788	6698
1510	6792	6693
1511	6795	6687
1512	6800	6683
1513	6804	6678
1514	6808	6673
1515	6812	6668
1516	6816	6664
1517	6821	6659
1518	6825	6654
1519	6829	6650
1520	6834	6645
1521	6838	6640
1522	6842	6635
1523	6846	6630
1524	6850	6625
1525	6854	6621
1526	6859	6616
1527	6863	6611
1528	6867	6607
1529	6871	6602
1530	6875	6597
1531	6879	6592
1532	6884	6587
1533	6888	6583
1534	6892	6578
1535	6896	6573
1536	6900	6568
1537	6905	6564
1538	6909	6559
1539	6913	6554
1540	6917	6549
1541	6921	6544
1542	6925	6539
1543	6929	6534
1544	6934	6530
1545	6938	6525
1546	6941	6520
1547	6946	6515
1548	6950	6510
1549	6954	6505
1550	6958	6501
1551	6963	6496
1552	6967	6491
1553	6970	6486
1554	6975	6481
1555	6979	6476
1556	6983	6472
1557	6987	6467
1558	6991	6462
1559	6995	6457
1560	6999	6452
1561	7003	6447
1562	7007	6442
1563	7012	6438
1564	7016	6433
1565	7020	6428
1566	7024	6423
1567	7029	6419
1568	7033	6414
1569	7037	6410
1570	7041	6405
1571	7045	6400
1572	7049	6395
1573	7054	6390
1574	7058	6385
1575	7062	6381
1576	7067	6377
1577	7071	6372
1578	7075	6367
1579	7079	6362
1580	7083	6358
1581	7087	6353
1582	7091	6347
1583	7095	6343
1584	7099	6338
1585	7103	6333
1586	7107	6328
1587	7113	6324
1588	7117	6320
1589	7121	6314
1590	7125	6310
1591	7129	6305
1592	7134	6301
1593	7138	6296
1594	7143	6292
1595	7147	6287
1596	7151	6282
1597	7155	6278
1598	7160	6273
1599	7164	6268
1600	7168	6263
1601	7172	6259
1602	7177	6254
1603	7180	6249
1604	7184	6244
1605	7189	6240
1606	7193	6235
1607	7197	6230
1608	7201	6226
1609	7206	6221
1610	7211	6217
1611	7215	6212
1612	7219	6208
1613	7224	6204
1614	7229	6199
1615	7233	6195
1616	7238	6190
1617	7242	6186
1618	7247	6182
1619	7252	6177
1620	7256	6173
1621	7260	6168
1622	7264	6163
1623	7269	6159
1624	7274	6154
1625	7278	6150
1626	7283	6146
1627	7287	6141
1628	7292	6137
1629	7296	6132
1630	7300	6128
1631	7305	6123
1632	7309	6119
1633	7314	6114
